Shop_ID,Shop_Type,Shop_Location,Shop_Size_sqft,Years_in_Operation,Average_Daily_Customers,Average_Spending_per_Customer,Competition_Count,Rent_Cost_per_Month,Monthly_Inventory_Cost,Other_Expenses,Festival_Season,Exam_Season,Month,Monthly_Earnings
305,Food Stall,BH-1 Complex,87,3,118,72,2,16626,16993,4869,0,0,Nov,196384
306,Mobile Shop,BH-7 Complex,216,2,148,98,3,10027,26035,6912,0,1,Nov,356112
307,Clothing,BH-1 Complex,116,2,119,97,2,6679,25659,7697,0,1,Oct,284747
308,Mobile Shop,BH-5 Complex,208,7,116,72,3,14326,18644,8970,0,1,Jan,192208
309,Clothing,BH-7 Complex,188,4,97,80,3,6644,17032,6761,0,0,Apr,167280
310,Food Stall,BH-7 Complex,140,4,71,119,1,16551,36225,7606,1,0,Jul,203470
311,Cafe,UniMall,192,5,64,95,5,12121,16200,11529,0,0,Mar,126320
312,Clothing,BH-1 Complex,237,9,98,81,1,16869,15086,6512,0,1,Apr,172264
313,Cafe,BH-7 Complex,213,2,82,104,1,17510,18687,4596,0,0,Oct,188784
314,Cafe,UniMall,107,7,137,117,3,17259,39690,6979,0,1,Aug,414841
315,Mobile Shop,UniMall,98,3,131,102,2,14328,30534,7360,0,1,Feb,324136
316,Salon,UniMall,143,7,72,113,2,17169,19188,8015,0,0,Oct,177808
317,Food Stall,UniMall,141,1,108,62,3,6816,28414,4820,0,0,May,150880
318,Food Stall,BH-7 Complex,165,9,91,85,3,9893,21811,5096,0,0,Jul,166580
319,Salon,BH-1 Complex,218,5,137,88,1,6658,20057,8008,1,1,Feb,311680
320,Clothing,BH-5 Complex,195,9,67,81,1,8763,37712,9991,0,0,Jun,107383
321,Stationery,BH-1 Complex,143,8,138,79,3,6634,26996,6370,1,0,Dec,255256
322,Stationery,Law Gate,141,1,134,117,1,16858,37623,11581,0,1,Aug,420340
323,Cafe,Law Gate,180,7,138,107,2,16147,36639,11368,1,0,Mar,363448
324,Food Stall,BH-5 Complex,213,1,123,103,3,8618,36062,7163,0,1,Oct,304732
325,Mobile Shop,BH-1 Complex,136,8,145,101,5,9516,34724,10410,0,0,Dec,374705
326,Cafe,Law Gate,219,3,69,103,2,9278,36839,6640,0,1,Jan,163210
327,Stationery,BH-7 Complex,208,5,121,97,2,10334,35674,6725,0,1,Jul,278636
328,Mobile Shop,BH-5 Complex,180,4,81,69,4,15166,16230,6435,0,0,May,117670
329,Salon,BH-5 Complex,199,2,122,81,1,10500,31034,9710,1,1,Aug,236578
330,Food Stall,BH-7 Complex,117,4,88,66,4,12033,30623,6378,0,1,Oct,112624
331,Food Stall,BH-1 Complex,228,3,126,104,3,17918,37780,6828,0,0,May,343120
332,Cafe,UniMall,179,7,94,81,3,17678,25701,4919,0,1,May,170806
333,Salon,BH-1 Complex,153,9,144,69,4,16776,15067,5596,0,1,Nov,248080
334,Stationery,BH-7 Complex,91,2,114,87,4,9262,32722,8996,1,0,Jun,227704
335,Mobile Shop,Law Gate,199,7,84,73,3,10383,34345,7226,0,0,Sep,133960
336,Food Stall,BH-5 Complex,222,8,118,84,4,8505,15917,5874,0,0,Jan,227536
337,Food Stall,BH-1 Complex,122,8,105,73,4,17667,19529,5135,1,0,Aug,172285
338,Food Stall,Law Gate,115,6,149,89,2,9020,33241,4804,1,0,Nov,321308
339,Clothing,BH-5 Complex,223,7,81,79,5,13129,20021,11888,1,1,Nov,129172
340,Food Stall,UniMall,87,5,112,82,4,8259,25020,5257,0,0,Dec,225520
341,Stationery,Law Gate,150,2,108,76,3,15116,37418,8589,0,0,Oct,188032
342,Salon,UniMall,119,8,91,111,4,12628,34539,7970,0,1,Aug,253030
343,Clothing,BH-7 Complex,92,4,115,119,5,10134,26803,11216,0,1,Feb,346865
344,Mobile Shop,Law Gate,110,7,123,97,3,7879,27158,11543,0,1,May,307930
345,Stationery,BH-5 Complex,191,7,123,97,1,7447,34583,10381,0,1,Oct,295999
346,Food Stall,BH-7 Complex,168,2,116,114,3,12324,37711,4225,1,1,Oct,333496
347,Food Stall,UniMall,119,4,74,74,2,15718,36158,11692,0,0,Sep,114280
348,Food Stall,BH-1 Complex,127,2,122,71,4,7234,21587,9446,0,0,Aug,201198
349,Stationery,BH-7 Complex,169,6,72,104,4,8032,16252,9509,1,1,Nov,159664
350,Stationery,BH-7 Complex,229,6,122,97,1,15949,36954,11579,1,0,Oct,281352
351,Salon,BH-5 Complex,168,9,62,118,5,15018,37302,4348,1,0,Jun,154848
352,Food Stall,BH-5 Complex,160,6,63,72,4,16878,17985,11793,0,0,Jan,77008
353,Mobile Shop,BH-1 Complex,190,7,83,117,5,11850,35588,11446,0,1,Jul,231619
354,Salon,Law Gate,173,2,61,113,5,13678,24104,7357,0,1,Jul,149897
355,Clothing,Law Gate,187,5,140,99,4,12771,31526,9320,0,1,Sep,365800
356,Cafe,UniMall,111,1,113,106,5,15259,17786,9962,0,1,Aug,285384
357,Stationery,BH-1 Complex,182,1,86,71,1,9303,34497,11869,0,1,May,120968
358,Mobile Shop,UniMall,194,8,99,82,1,14100,15191,4498,0,0,Aug,185422
359,Mobile Shop,BH-5 Complex,117,7,142,98,5,14464,24221,7218,1,1,Oct,367480
360,Food Stall,UniMall,162,3,108,102,3,6307,39121,7359,1,0,Aug,269464
361,Food Stall,BH-5 Complex,110,8,122,71,5,10005,26755,4922,0,0,Oct,201198
362,Cafe,BH-1 Complex,146,8,83,113,5,7096,24497,4915,0,1,Jan,221991
363,Cafe,Law Gate,163,7,74,94,4,17956,30641,9806,0,1,Jan,144768
364,Food Stall,BH-5 Complex,195,6,148,61,5,9970,38929,8244,1,0,Jun,211812
365,Mobile Shop,UniMall,100,8,74,117,1,8925,36427,4974,0,0,Nov,201082
366,Stationery,BH-1 Complex,119,2,106,82,2,14721,27948,8059,0,0,Jul,210760
367,Salon,BH-1 Complex,181,5,134,64,1,17500,16716,4310,1,1,Aug,198704
368,Clothing,Law Gate,202,8,119,110,5,11898,33395,10251,0,0,Sep,329610
369,Clothing,UniMall,101,8,117,80,5,12686,16587,11000,0,0,Oct,230800
370,Mobile Shop,BH-1 Complex,87,1,113,101,1,11454,24424,8117,0,0,Jun,269564
371,Mobile Shop,BH-7 Complex,222,6,140,107,5,10524,34205,8258,0,0,May,384420
372,Cafe,Law Gate,126,5,94,119,2,13984,15406,11384,0,0,Feb,274394
373,Salon,BH-5 Complex,198,3,77,63,3,11368,19621,5485,0,1,Mar,85828
374,Clothing,BH-7 Complex,204,1,78,79,3,14095,37649,8527,1,0,Apr,134860
375,Mobile Shop,BH-5 Complex,119,4,72,65,5,15343,25637,5956,0,0,Feb,85720
376,Food Stall,BH-7 Complex,87,7,90,62,4,10887,18854,8266,1,1,Sep,111820
377,Clothing,Law Gate,205,7,139,94,5,15673,20316,6780,0,1,Dec,328914
378,Cafe,Law Gate,175,9,63,88,5,8053,23479,9737,1,0,Aug,116320
379,Clothing,BH-5 Complex,160,9,122,62,3,9722,19906,9520,0,1,Jun,169356
380,Stationery,BH-7 Complex,82,9,94,81,4,10051,33581,9999,0,0,Feb,163192
381,Salon,BH-5 Complex,109,9,132,82,4,7106,31508,7246,0,0,Sep,263896
382,Food Stall,UniMall,157,3,133,73,4,15208,27662,10782,0,0,Nov,231561
383,Food Stall,Law Gate,155,9,70,80,2,13381,36164,6950,1,0,Jan,106800
384,Mobile Shop,UniMall,187,4,77,94,2,14378,16881,10799,0,0,Aug,152664
385,Clothing,BH-7 Complex,122,1,66,106,5,10670,38527,8987,0,0,Aug,159880
386,Mobile Shop,Law Gate,150,4,128,85,4,16076,30972,4925,1,1,Apr,265520
387,Salon,BH-1 Complex,134,4,106,105,5,10713,18092,8159,0,0,Apr,283900
388,Mobile Shop,BH-7 Complex,98,7,61,81,2,13108,24141,7939,0,1,Apr,93289
389,Stationery,BH-1 Complex,117,6,81,111,4,6931,28128,11910,0,1,Sep,219730
390,Salon,Law Gate,147,2,91,63,5,7873,38165,11754,1,0,Jul,116257
391,Salon,BH-7 Complex,238,3,127,78,5,16717,27450,6488,1,0,Oct,237274
392,Mobile Shop,BH-7 Complex,238,8,61,61,1,11983,31527,4015,0,0,Jul,54188
393,Food Stall,BH-1 Complex,171,1,85,106,4,15099,17654,7792,1,1,Oct,211290
394,Cafe,BH-1 Complex,154,3,83,63,4,12553,35426,7367,0,1,Jun,106870
395,Clothing,UniMall,175,8,125,108,1,8077,28907,11845,0,1,Oct,341500
396,Clothing,Law Gate,186,9,106,96,2,7260,22701,4184,0,0,Dec,245104
397,Cafe,BH-5 Complex,118,2,99,68,1,14713,25079,6552,0,1,Jun,145228
398,Clothing,BH-7 Complex,235,4,86,61,5,11197,30553,11452,0,0,May,107380
399,Clothing,BH-5 Complex,243,6,77,83,5,10769,20247,6361,1,1,Jan,135339
400,Salon,BH-1 Complex,223,5,104,95,4,14386,32046,4479,0,0,Jul,236520
401,Salon,BH-5 Complex,224,9,137,65,4,13148,39150,7213,0,0,Apr,199340
402,Food Stall,BH-7 Complex,110,3,146,99,1,8253,19942,8138,0,0,Jul,383620
403,Salon,UniMall,108,6,91,99,1,12394,39275,6338,0,1,May,202252
404,Stationery,BH-1 Complex,236,6,148,67,2,14832,29166,8703,0,1,Mar,247480
405,Salon,BH-5 Complex,149,8,124,117,5,14320,20968,8801,0,0,Dec,356224
406,Salon,BH-5 Complex,152,7,94,64,4,13531,22371,10355,0,1,Nov,130480
407,Clothing,BH-5 Complex,190,5,104,102,5,12331,34896,9205,1,0,Apr,247024
408,Stationery,BH-7 Complex,235,9,131,101,4,9823,38154,5049,0,1,Mar,333699
409,Cafe,BH-1 Complex,90,6,71,74,2,12582,33186,6713,0,1,Apr,107620
410,Stationery,BH-7 Complex,147,9,101,87,4,7466,35341,5966,1,0,Nov,196036
411,Food Stall,BH-7 Complex,168,6,110,112,1,9892,15599,8815,1,1,Jan,294960
412,Salon,Law Gate,107,9,66,105,2,16762,29312,11382,1,0,Jan,150970
413,Stationery,BH-5 Complex,172,8,95,73,1,9618,35827,4272,0,0,May,151115
414,Mobile Shop,UniMall,248,9,123,113,5,17350,37744,11657,0,1,Jan,353071
415,Food Stall,BH-5 Complex,83,1,60,103,2,7211,24121,5539,1,0,Aug,123040
416,Stationery,UniMall,225,3,142,95,3,14947,28946,9930,0,0,Jan,341210
417,Mobile Shop,BH-1 Complex,145,4,98,107,2,14111,30848,7715,0,0,Jan,254094
418,Clothing,BH-1 Complex,180,2,117,85,5,11209,21533,8677,0,1,Oct,248350
419,Mobile Shop,BH-7 Complex,155,7,71,113,5,14346,34878,4904,0,0,Feb,182667
420,Stationery,Law Gate,245,5,111,98,2,6171,39849,6306,0,0,Oct,254584
421,Mobile Shop,Law Gate,206,6,70,63,2,17459,21748,10103,1,0,Jul,82300
422,Clothing,BH-1 Complex,198,1,75,90,1,11798,24627,4223,0,1,May,145750
423,Cafe,BH-1 Complex,118,7,146,64,5,9124,23671,7514,0,0,Oct,220976
424,Mobile Shop,BH-7 Complex,172,3,88,74,3,17781,20515,6670,0,1,Apr,145360
425,Salon,BH-1 Complex,88,5,106,63,1,6556,39406,7087,1,1,Feb,150340
426,Mobile Shop,UniMall,129,9,100,81,1,15643,17313,5514,1,1,Sep,176800
427,Salon,BH-1 Complex,157,2,95,116,3,15642,20649,7261,0,1,Mar,280600
428,Clothing,UniMall,147,9,115,86,2,12280,30327,8563,0,1,Jun,246700
429,Food Stall,BH-5 Complex,197,2,139,83,2,8653,18340,11876,0,0,Feb,296110
430,Stationery,BH-1 Complex,114,7,106,71,5,13116,16784,7510,0,1,Dec,175780
431,Mobile Shop,BH-1 Complex,161,7,147,100,4,10658,38466,6934,0,0,Mar,361600
432,Cafe,BH-1 Complex,177,3,87,118,5,9197,20296,11204,0,0,Jun,237448
433,Clothing,BH-7 Complex,105,8,75,87,5,10539,23876,7629,1,0,Jul,145750
434,Salon,BH-1 Complex,225,7,123,82,1,11014,16375,5181,0,0,Nov,252580
435,Cafe,BH-5 Complex,170,6,104,103,3,9159,19530,4681,0,0,May,260648
436,Salon,BH-7 Complex,171,1,149,99,4,17440,29678,7731,0,0,Feb,363028
437,Mobile Shop,BH-7 Complex,154,2,100,65,3,8296,22164,6597,0,0,Aug,145000
438,Salon,BH-1 Complex,80,4,78,77,1,16099,22036,10487,0,1,Nov,118168
439,Stationery,UniMall,95,6,148,75,3,6220,29226,10038,0,0,Jan,271900
440,Salon,BH-7 Complex,213,5,93,75,2,11521,30905,4344,0,1,Nov,159250
441,Clothing,Law Gate,167,4,98,90,5,7033,29877,6040,1,0,Aug,205780
442,Stationery,UniMall,131,5,68,104,5,12297,31655,4142,0,1,Feb,148016
443,Food Stall,BH-1 Complex,189,9,72,63,5,13788,30689,7260,0,1,Oct,81544
444,Clothing,UniMall,131,7,72,95,2,9339,31932,9193,0,1,Jul,141520
445,Salon,UniMall,110,2,99,98,4,7174,26469,4178,0,0,Feb,221656
446,Mobile Shop,BH-1 Complex,178,2,84,72,3,17110,15731,5129,0,1,Mar,125392
447,Food Stall,BH-5 Complex,94,9,145,118,4,6893,16390,7389,1,1,Jan,463300
448,Mobile Shop,BH-1 Complex,151,2,142,97,4,16544,32551,4110,0,0,Jan,363220
449,Clothing,UniMall,85,8,122,104,2,7030,30881,6593,1,1,Sep,305264
450,Stationery,Law Gate,107,3,114,76,3,16570,30897,7454,1,0,Oct,201256
451,Stationery,BH-1 Complex,99,6,107,80,3,15399,33278,11389,1,1,Aug,198240
452,Stationery,UniMall,166,9,115,113,3,6378,35213,10380,1,0,Feb,339850
453,Food Stall,BH-1 Complex,212,3,122,95,4,12120,37202,4382,1,0,Jan,274520
454,Mobile Shop,Law Gate,158,6,83,111,3,11969,24265,11669,0,1,Aug,226390
455,Salon,BH-5 Complex,92,1,138,62,2,11068,20480,4983,0,0,Sep,198124
456,Salon,UniMall,117,8,141,113,3,11596,31374,7998,0,0,Sep,427990
457,Salon,BH-1 Complex,95,2,115,89,2,10435,34028,11612,0,0,Oct,236580
458,Mobile Shop,UniMall,148,5,61,63,4,12054,16505,4861,0,0,May,57604
459,Mobile Shop,Law Gate,236,6,132,64,3,11953,39840,6659,0,1,Jan,194992
460,Stationery,UniMall,107,9,60,83,4,9153,38834,5706,1,0,Feb,89440
461,Salon,Law Gate,192,5,146,109,3,10567,24271,10768,0,0,Feb,411506
462,Clothing,BH-1 Complex,150,8,82,113,2,8809,19961,4825,1,1,Jun,227980
463,Salon,Law Gate,157,9,124,63,3,14243,17410,5820,0,1,Aug,176548
464,Stationery,UniMall,139,3,110,65,5,6240,34824,8631,1,1,Mar,164500
465,Cafe,Law Gate,96,6,100,101,1,12080,28854,11325,1,1,Mar,242900
466,Salon,UniMall,131,5,115,114,5,14107,39354,7185,0,0,Jan,343300
467,Cafe,BH-5 Complex,144,4,80,112,2,6060,24269,9799,0,0,Nov,218800
468,Cafe,BH-7 Complex,157,7,82,66,3,9398,17155,9966,1,0,Jan,101536
469,Food Stall,BH-7 Complex,137,6,71,65,3,12943,26112,11507,0,0,Jul,83835
470,Cafe,UniMall,115,7,82,85,3,9918,32451,4026,1,0,Jul,145160
471,Salon,Law Gate,114,3,139,82,5,13798,35175,5357,0,1,Jul,280542
472,Stationery,UniMall,80,4,130,62,2,16271,37814,6641,0,0,Apr,183740
473,Cafe,BH-1 Complex,135,9,80,119,3,17360,25313,11794,1,0,Nov,216560
474,Food Stall,BH-5 Complex,101,1,117,61,3,12257,22366,6060,0,1,Nov,164110
475,Food Stall,UniMall,136,2,97,100,1,6343,27653,11287,0,1,Apr,221600
476,Cafe,BH-1 Complex,164,5,140,76,2,12961,33799,5117,1,0,Jan,247920
477,Food Stall,UniMall,236,4,77,101,2,6556,28393,5552,0,0,Nov,167756
478,Salon,BH-1 Complex,169,4,68,72,2,6154,22950,11131,0,0,Dec,96880
479,Cafe,BH-1 Complex,96,1,108,77,4,17394,29785,10112,1,0,Nov,182848
480,Clothing,BH-7 Complex,197,7,108,114,4,9426,35167,9427,1,1,Jan,307048
481,Salon,BH-5 Complex,213,4,108,84,1,8511,15143,6489,0,0,Jul,213088
482,Stationery,BH-5 Complex,147,2,92,85,4,6300,32107,9694,0,1,Dec,168960
483,Clothing,Law Gate,228,4,92,72,2,15943,17941,6657,0,0,Jul,142096
484,Stationery,BH-5 Complex,119,2,140,107,4,7299,37202,10701,0,0,Dec,384420
485,Stationery,BH-7 Complex,130,8,65,72,3,9089,15523,8275,0,1,Nov,85720
486,Stationery,Law Gate,148,7,107,66,5,17332,21666,4142,0,1,Jun,161860
487,Salon,BH-1 Complex,198,7,76,85,2,7172,35901,5641,1,0,Feb,130880
488,Mobile Shop,BH-1 Complex,80,7,100,69,4,7936,28968,4962,0,1,May,150100
489,Clothing,UniMall,153,2,145,116,5,8244,15018,4641,0,1,Dec,437780
490,Clothing,Law Gate,191,8,132,61,4,7674,25875,7380,0,0,Jun,183508
491,Clothing,UniMall,208,6,144,81,5,8283,24521,4477,0,0,Jul,276592
492,Stationery,Law Gate,199,8,121,117,5,7680,23433,11461,0,1,Jul,360553
493,Clothing,BH-5 Complex,127,9,147,92,4,14119,17779,8920,0,1,Sep,355720
494,Mobile Shop,BH-7 Complex,110,7,134,82,1,12200,23371,4231,1,0,Jan,268652
495,Mobile Shop,BH-7 Complex,109,5,143,94,2,13164,19497,6669,0,1,Feb,353260
496,Food Stall,BH-5 Complex,121,3,117,85,2,6942,19620,7879,0,0,Jul,228460
497,Salon,UniMall,215,2,113,75,1,16379,36271,4545,0,0,Jun,187300
498,Stationery,Law Gate,155,2,72,78,3,11378,37617,6663,1,0,May,107248
499,Cafe,BH-5 Complex,95,7,145,71,4,11092,21022,8377,1,0,May,248555
500,Cafe,Law Gate,206,7,134,69,4,11288,20812,10509,0,0,Apr,208888
501,Salon,BH-7 Complex,230,5,144,65,5,12154,22787,8121,0,1,Aug,212080
502,Clothing,BH-7 Complex,185,9,136,82,4,13311,15989,8284,0,1,Jan,284560
503,Clothing,BH-1 Complex,189,2,68,71,5,17189,34187,7765,0,0,Oct,85184
504,Food Stall,UniMall,180,3,137,70,2,14613,17883,5204,0,0,May,228110
505,Clothing,Law Gate,159,8,142,113,4,8569,20515,5013,1,0,Apr,431380
506,Stationery,UniMall,184,4,126,68,5,15524,19753,11082,0,0,Dec,189904
507,Cafe,UniMall,191,8,101,75,3,15057,34177,11680,0,1,Oct,162100
508,Food Stall,BH-5 Complex,209,1,108,97,3,7173,23624,10202,0,1,Jan,264280
509,Stationery,BH-5 Complex,237,4,149,75,3,17630,20580,11054,0,0,Sep,262900
510,Clothing,Law Gate,166,6,108,71,5,11588,33231,10851,0,1,May,180040
511,Mobile Shop,BH-7 Complex,225,4,80,74,4,9057,19428,4402,1,1,Dec,115760
512,Cafe,BH-7 Complex,134,9,66,116,5,6579,39058,4545,0,0,Oct,164368
513,Mobile Shop,BH-7 Complex,109,5,119,110,1,15408,38131,4880,0,1,Sep,316520
514,Stationery,BH-5 Complex,129,1,121,90,5,9367,38722,9694,1,1,Nov,254920
515,Food Stall,UniMall,150,5,108,95,4,17529,37622,4261,1,1,Jul,247540
516,Salon,Law Gate,136,3,79,97,1,14347,26780,10775,1,0,May,172227
517,Clothing,BH-5 Complex,188,2,99,62,5,10332,15997,8076,0,1,Jun,121864
518,Cafe,BH-1 Complex,214,6,136,108,2,8248,32232,6556,1,0,Jan,390640
519,Salon,Law Gate,196,6,86,106,3,6574,28330,5552,0,1,Aug,214364
520,Clothing,BH-7 Complex,130,8,104,63,5,9992,22837,4203,0,1,Dec,140008
521,Food Stall,BH-5 Complex,88,8,141,76,4,6343,36782,4208,1,0,Mar,260764
522,Food Stall,Law Gate,126,7,135,79,4,8772,25672,10252,0,1,Nov,248620
523,Cafe,BH-5 Complex,225,6,77,118,3,6988,16502,5789,0,1,Aug,222580
524,Mobile Shop,BH-5 Complex,246,4,110,94,1,8436,20517,7803,1,0,Jun,249860
525,Food Stall,UniMall,214,9,90,82,4,16917,34766,8163,1,1,Oct,156640
526,Food Stall,BH-5 Complex,150,9,71,98,3,12606,28419,10265,0,0,Jul,151782
527,Mobile Shop,Law Gate,123,6,93,65,2,9557,27601,7250,0,0,Mar,125305
528,Clothing,BH-7 Complex,224,7,145,81,5,17826,28890,4508,0,0,Jul,290605
529,Cafe,UniMall,100,8,147,76,4,13890,31708,9087,1,0,Apr,273988
530,Food Stall,BH-7 Complex,147,6,99,107,1,15694,18127,10763,0,0,Jan,257197
531,Stationery,BH-1 Complex,101,7,61,116,3,14257,28107,9467,0,0,Aug,148128
532,Food Stall,BH-7 Complex,91,8,128,79,2,17814,16036,5832,0,1,Mar,253360
533,Salon,Law Gate,185,4,62,115,2,14714,25109,6886,0,0,Jul,149640
534,Food Stall,Law Gate,232,7,125,65,1,16686,37943,6579,0,0,Jul,177500
535,Food Stall,BH-5 Complex,192,8,129,97,5,10095,29549,5875,1,0,Feb,312877
536,Salon,BH-1 Complex,143,2,64,98,1,11285,24589,10516,0,0,Feb,131888
537,Salon,BH-5 Complex,124,4,87,61,5,7932,18535,9946,0,0,Nov,103903
538,Mobile Shop,BH-7 Complex,132,3,85,66,1,15774,15564,7258,1,1,Oct,112690
539,Salon,BH-5 Complex,90,1,110,98,2,13170,28303,10207,0,0,Jul,262620
540,Food Stall,BH-1 Complex,114,7,105,61,1,10042,19433,6170,1,0,Mar,142150
541,Salon,UniMall,81,2,122,110,4,10305,18007,4969,1,1,Feb,339180
542,Mobile Shop,UniMall,210,5,135,95,2,16324,15048,7566,0,1,Jun,321925
543,Food Stall,BH-7 Complex,82,4,85,67,5,10366,15122,10799,0,0,May,109460
544,Mobile Shop,BH-1 Complex,181,9,125,113,3,9749,26353,9817,0,0,Jul,373750
545,Salon,BH-5 Complex,87,2,123,97,1,14391,27658,9109,0,0,Oct,284068
546,Salon,BH-7 Complex,165,7,69,88,1,13759,27067,11251,1,0,Dec,126088
547,Food Stall,UniMall,170,8,107,97,5,10468,25464,11672,0,1,Nov,261370
548,Cafe,BH-5 Complex,184,2,131,82,1,17652,21697,7718,1,1,Jul,250776
549,Mobile Shop,BH-7 Complex,137,6,133,101,5,15909,28436,4066,1,1,Jul,326124
550,Clothing,UniMall,208,5,61,71,4,6804,36015,5391,1,0,Mar,75599
551,Clothing,BH-7 Complex,233,1,105,114,2,11335,20077,9055,1,0,Aug,309100
552,Stationery,UniMall,158,3,75,118,4,7294,30096,8065,0,0,Oct,197800
553,Cafe,BH-1 Complex,118,3,134,77,4,15318,23488,7049,0,1,May,249222
554,Clothing,BH-5 Complex,196,4,107,74,4,12014,25694,7999,0,0,Mar,179622
555,Cafe,BH-1 Complex,144,5,89,113,3,10534,16752,5615,0,1,Apr,231596
556,Cafe,Law Gate,100,4,112,95,4,13633,32871,11848,0,0,Jun,247920
557,Food Stall,UniMall,180,2,149,80,4,13503,19766,9362,0,0,Jan,283760
558,Cafe,BH-1 Complex,120,3,117,98,3,8542,30282,6003,1,0,Dec,282514
559,Salon,UniMall,185,1,88,66,5,13926,20131,9986,1,1,Jan,118432
560,Food Stall,Law Gate,236,4,77,68,2,15244,22281,6509,0,0,Jul,101844
561,Mobile Shop,BH-7 Complex,185,2,139,70,2,16114,35541,8969,0,1,Sep,232170
562,Clothing,BH-5 Complex,116,8,116,97,4,15078,26725,7936,1,1,May,265056
563,Mobile Shop,BH-1 Complex,109,2,90,104,4,16473,24247,11456,1,0,Sep,212080
564,Salon,BH-5 Complex,242,7,85,61,1,10675,16560,7762,0,0,Dec,100365
565,Salon,Law Gate,185,8,123,90,3,16591,20073,5645,0,1,Jul,282100
566,Cafe,UniMall,205,8,129,113,5,9906,19492,5538,0,0,Jan,387310
567,Cafe,Law Gate,225,5,101,71,4,15699,27737,6570,0,0,Jun,150788
568,Salon,BH-5 Complex,109,8,112,118,2,9697,31874,8350,0,1,Apr,333264
569,Stationery,BH-1 Complex,119,3,84,78,2,12986,21862,7967,0,0,Sep,133456
570,Cafe,BH-5 Complex,151,5,92,78,2,13776,23558,4527,0,1,Oct,150928
571,Food Stall,BH-1 Complex,97,2,64,81,5,17675,25912,9738,0,0,Jul,105520
572,Food Stall,Law Gate,245,8,92,85,2,6752,25661,7969,0,0,Oct,168960
573,Mobile Shop,Law Gate,246,3,76,114,3,9257,21213,5997,0,0,Feb,201256
574,Stationery,UniMall,158,4,148,72,2,12376,16524,7766,1,1,Oct,248368
575,Mobile Shop,UniMall,226,3,93,94,2,8178,25871,11610,1,0,May,203518
576,Food Stall,BH-1 Complex,171,2,126,70,4,12749,28763,4964,0,0,Aug,196960
577,Mobile Shop,BH-5 Complex,174,9,81,95,3,15718,15028,9026,0,0,Mar,180850
578,Cafe,BH-7 Complex,157,9,61,83,1,16405,16906,11399,0,1,Feb,101890
579,Stationery,BH-5 Complex,179,1,68,97,3,7428,19378,11529,0,1,Dec,147880
580,Salon,UniMall,164,5,135,61,3,8773,17262,7229,0,0,Jan,188815
581,Clothing,BH-1 Complex,166,9,98,89,2,11796,29450,10363,1,0,Feb,202938
582,Salon,BH-5 Complex,140,6,80,117,4,8739,15940,4340,0,0,Oct,212080
583,Stationery,BH-7 Complex,92,3,129,100,4,11442,25976,11680,0,0,Mar,311200
584,Food Stall,BH-1 Complex,203,5,135,89,4,8017,22957,5228,0,0,Jun,286420
585,Clothing,BH-5 Complex,188,7,92,67,1,6211,37543,9617,0,0,Aug,128756
586,Cafe,BH-7 Complex,94,4,106,103,1,11095,28809,10614,0,0,Sep,255704
587,Clothing,Law Gate,139,7,133,83,3,11424,35625,9894,0,1,Jul,270131
588,Food Stall,BH-1 Complex,221,4,73,74,3,7176,39340,4400,1,0,Feb,101256
589,Food Stall,UniMall,239,6,82,105,1,13910,30847,9649,1,1,Aug,191080
590,Stationery,BH-1 Complex,223,1,93,79,3,13875,35823,9972,0,0,Dec,155716
591,Food Stall,UniMall,213,8,94,108,3,17953,23106,6275,1,0,Dec,234256
592,Food Stall,UniMall,180,6,112,97,5,16195,21085,8198,1,0,Oct,275920
593,Cafe,BH-1 Complex,108,1,73,117,4,9782,38341,4766,0,0,Jun,197689
594,Cafe,UniMall,143,8,84,118,4,9949,37417,7108,1,0,May,237448
595,Mobile Shop,BH-1 Complex,219,5,122,70,5,17759,24190,6147,1,0,Oct,206200
596,Mobile Shop,BH-1 Complex,169,3,61,79,3,16483,39789,10961,0,1,Aug,94570
597,Cafe,Law Gate,216,3,88,70,3,9345,33870,11165,0,0,May,122480
598,Stationery,BH-7 Complex,195,2,98,73,5,6294,39596,7242,1,0,Aug,164620
599,Cafe,Law Gate,176,8,68,116,3,11538,27388,8756,0,0,Feb,186640
600,Clothing,BH-7 Complex,145,2,65,81,5,16306,19491,8707,0,0,Dec,102685
601,Mobile Shop,BH-1 Complex,167,6,73,103,3,11072,24631,7053,0,1,Aug,168051
602,Mobile Shop,UniMall,97,9,93,99,3,15166,24930,7285,0,1,Jul,226210
603,Clothing,BH-7 Complex,121,2,144,93,2,13637,36225,8770,1,1,Jun,351760
604,Cafe,Law Gate,116,2,112,67,4,12404,15992,9424,1,0,May,175120
605,Mobile Shop,BH-5 Complex,146,4,63,101,3,7387,26375,10552,0,1,Mar,134527
606,Cafe,Law Gate,226,9,146,66,3,7724,37982,6413,0,0,Oct,239080
607,Stationery,Law Gate,147,3,84,111,3,9110,33550,4334,0,1,Jan,220396
608,Food Stall,Law Gate,81,6,69,78,3,11141,33178,9988,0,1,Nov,106078
609,Cafe,Law Gate,180,6,61,68,4,13937,28660,4224,0,1,Aug,74440
610,Mobile Shop,BH-7 Complex,96,8,78,91,1,12400,38027,10432,0,0,Jul,162940
611,Clothing,Law Gate,104,3,94,109,4,13630,29772,9429,0,1,Feb,257380
612,Stationery,BH-1 Complex,128,6,105,81,5,15903,36511,4806,0,0,Dec,205150
